t,x,y,vx,vy
0.017,-0.829,0.374,0.371,0.000
0.033,-0.826,0.371,0.074,-0.074
0.050,-0.826,0.371,0.520,-0.074
0.067,-0.809,0.369,0.297,-0.520
0.083,-0.816,0.354,0.149,-0.891
0.100,-0.804,0.339,0.817,-0.594
0.117,-0.789,0.334,1.040,-0.446
0.133,-0.769,0.324,0.594,-0.594
0.150,-0.769,0.314,0.446,-0.817
0.167,-0.755,0.297,1.410,-0.446
0.183,-0.722,0.300,1.410,-1.040
0.200,-0.708,0.262,1.040,-1.630
0.217,-0.688,0.245,1.190,-0.668
0.233,-0.668,0.240,1.260,-1.110
0.250,-0.646,0.208,1.560,-1.260
0.267,-0.616,0.198,1.490,-0.668
0.283,-0.596,0.186,2.230,-1.260
0.300,-0.542,0.156,2.080,-0.891
0.317,-0.527,0.156,1.410,-1.040
0.333,-0.495,0.121,2.080,-1.710
0.350,-0.457,0.099,1.930,-1.190
0.367,-0.430,0.082,2.150,-0.891
0.383,-0.386,0.069,2.750,-0.594
0.400,-0.339,0.062,2.450,-0.965
0.417,-0.304,0.037,2.450,-0.817
0.433,-0.257,0.035,2.520,-0.520
0.450,-0.220,0.020,2.670,-0.668
0.467,-0.168,0.012,3.120,-0.520
0.483,-0.116,0.003,2.970,-0.223
0.500,-0.069,0.005,2.670,0.223
0.517,-0.027,0.010,2.300,0.149
0.533,0.008,0.010,2.600,0.074
0.550,0.060,0.012,3.790,0.074
0.567,0.134,0.012,3.040,-0.297
0.583,0.161,0.003,2.150,-0.743
0.600,0.206,-0.012,2.670,1.190
0.617,0.250,0.042,2.150,1.560
0.633,0.278,0.040,2.230,0.743
0.650,0.325,0.067,2.900,1.410
0.667,0.374,0.087,2.670,0.891
0.683,0.414,0.097,2.080,0.817
0.700,0.444,0.114,1.630,1.040
0.717,0.468,0.131,1.930,1.110
0.733,0.508,0.151,2.010,1.190
0.750,0.535,0.171,1.630,1.110
0.767,0.562,0.188,2.010,1.040
0.783,0.602,0.206,1.630,0.817
0.800,0.617,0.215,1.630,1.040
0.817,0.656,0.240,1.630,0.891
0.833,0.671,0.245,1.340,0.743
0.850,0.701,0.265,1.780,1.340
0.867,0.731,0.290,1.110,0.891
0.883,0.738,0.295,0.371,0.520
0.900,0.743,0.307,0.297,0.520
0.917,0.748,0.312,0.371,0.297
0.933,0.755,0.317,0.371,0.371
0.950,0.760,0.324,0.223,0.520
0.967,0.763,0.334,0.223,0.668
0.983,0.768,0.347,0.223,0.371
1.000,0.770,0.347,0.074,0.149
1.020,0.770,0.352,0.149,0.223
