Time (s),Position y (m),Velocity v (m/s),Kinetic Energy K (J),Potential Energy U (J),Total Energy E (J),ΔK (J),ΔU (J),ΔE (J)
0.017,0.374,0.371,0.00138,0.0734,0.0748,7.42e-05,0.000196,0.00021
0.033,0.371,0.105,0.00011,0.0728,0.0729,2.09e-05,0.000196,0.000197
0.05,0.371,0.525,0.00276,0.0728,0.0755,0.000105,0.000196,0.000223
0.067,0.369,0.599,0.00359,0.0724,0.076,0.00012,0.000196,0.00023
0.083,0.354,0.903,0.00816,0.0695,0.0776,0.000181,0.000196,0.000267
0.1,0.339,1.01,0.0102,0.0665,0.0767,0.000202,0.000196,0.000282
0.117,0.334,1.13,0.0128,0.0655,0.0783,0.000226,0.000196,0.0003
0.133,0.324,0.84,0.00706,0.0636,0.0706,0.000168,0.000196,0.000258
0.15,0.314,0.931,0.00866,0.0616,0.0703,0.000186,0.000196,0.00027
0.167,0.297,1.48,0.0219,0.0583,0.0801,0.000296,0.000196,0.000355
0.183,0.3,1.75,0.0307,0.0589,0.0896,0.00035,0.000196,0.000402
0.2,0.262,1.93,0.0374,0.0514,0.0888,0.000387,0.000196,0.000434
0.217,0.245,1.36,0.0186,0.0481,0.0667,0.000273,0.000196,0.000336
0.233,0.24,1.68,0.0282,0.0471,0.0753,0.000336,0.000196,0.000389
0.25,0.208,2.01,0.0402,0.0408,0.081,0.000401,0.000196,0.000446
0.267,0.198,1.63,0.0267,0.0388,0.0655,0.000327,0.000196,0.000381
0.283,0.186,2.56,0.0656,0.0365,0.102,0.000512,0.000196,0.000549
0.3,0.156,2.26,0.0512,0.0306,0.0818,0.000453,0.000196,0.000493
0.317,0.156,1.75,0.0307,0.0306,0.0613,0.00035,0.000196,0.000402
0.333,0.121,2.69,0.0725,0.0237,0.0962,0.000539,0.000196,0.000573
0.35,0.099,2.27,0.0514,0.0194,0.0708,0.000453,0.000196,0.000494
0.367,0.082,2.33,0.0542,0.0161,0.0703,0.000465,0.000196,0.000505
0.383,0.069,2.81,0.0792,0.0135,0.0927,0.000563,0.000196,0.000596
0.4,0.062,2.63,0.0693,0.0122,0.0815,0.000527,0.000196,0.000562
0.417,0.037,2.58,0.0667,0.00726,0.074,0.000517,0.000196,0.000553
0.433,0.035,2.57,0.0662,0.00687,0.0731,0.000515,0.000196,0.000551
0.45,0.02,2.75,0.0758,0.00392,0.0797,0.00055,0.000196,0.000584
0.467,0.012,3.16,0.1,0.00235,0.102,0.000633,0.000196,0.000662
0.483,0.003,2.98,0.0887,0.000589,0.0893,0.000596,0.000196,0.000627
0.5,0.005,2.68,0.0718,0.000981,0.0728,0.000536,0.000196,0.000571
0.517,0.01,2.3,0.0531,0.00196,0.0551,0.000461,0.000196,0.000501
0.533,0.01,2.6,0.0677,0.00196,0.0696,0.00052,0.000196,0.000556
0.55,0.012,3.79,0.144,0.00235,0.146,0.000758,0.000196,0.000783
0.567,0.012,3.05,0.0933,0.00235,0.0957,0.000611,0.000196,0.000642
